Date,2330tw,0050tw,qqq
2017-01-03,153.2252960205078,71.9000015258789,114.72312927246094
2017-01-04,153.2252960205078,71.8499984741211,115.346923828125
2017-01-05,153.64395141601562,72.5,115.99951934814453
2017-01-06,154.06260681152344,72.6500015258789,117.01680755615234
2017-01-09,154.06260681152344,72.44999694824219,117.40068817138672
2017-01-10,154.06260681152344,72.4000015258789,117.6598129272461
2017-01-11,152.3880157470703,72.4000015258789,117.97650909423828
2017-01-12,154.48126220703125,73.1500015258789,117.7941665649414
2017-01-13,151.96937561035156,72.5999984741211,118.19725036621094
2017-01-17,151.55068969726562,72.30000305175781,117.84215545654297
2017-01-18,151.55068969726562,72.1500015258789,118.08209228515625
2017-01-19,151.13209533691406,71.94999694824219,118.02450561523438
2017-01-20,151.55068969726562,72.1500015258789,118.28361511230469
2017-01-23,154.89990234375,72.75,118.37958526611328
2017-01-24,155.3185577392578,73.30000305175781,119.17615509033203
2017-02-02,154.48126220703125,72.9000015258789,120.27021026611328
2017-02-03,154.48126220703125,72.8499984741211,120.61569213867188
2017-02-06,154.48126220703125,73.25,120.7596664428711
2017-02-07,154.48126220703125,73.30000305175781,121.20111846923828
2017-02-08,153.64395141601562,71.75,121.40265655517578
2017-02-09,154.06260681152344,72.0,121.8441390991211
2017-02-10,155.3185577392578,72.80000305175781,122.24720764160156
2017-02-13,156.99314880371094,72.94999694824219,122.93818664550781
2017-02-14,156.99314880371094,73.19999694824219,123.35087585449219
2017-02-15,158.24911499023438,73.9000015258789,124.08023834228516
2017-02-16,158.24911499023438,73.44999694824219,124.04183197021484
2017-02-17,158.66773986816406,73.3499984741211,124.57927703857422
2017-02-21,159.08641052246094,73.25,125.19348907470703
2017-02-22,157.83042907714844,73.30000305175781,125.2414779663086
2017-02-23,157.83042907714844,73.0999984741211,124.7712173461914
2017-02-24,158.24911499023438,73.1500015258789,125.0111312866211
2017-03-01,155.73724365234375,72.3499984741211,126.14361572265625
2017-03-02,155.73724365234375,72.55000305175781,125.51017761230469
2017-03-03,154.06260681152344,72.0999984741211,125.74052429199219
2017-03-06,153.64395141601562,72.1500015258789,125.46222686767578
2017-03-07,155.3185577392578,72.44999694824219,125.25105285644531
2017-03-08,156.5745086669922,72.8499984741211,125.4718246459961
2017-03-09,154.48126220703125,72.05000305175781,125.5677719116211
2017-03-10,153.64395141601562,72.0,126.09564208984375
2017-03-13,156.15582275390625,72.5,126.3067398071289
2017-03-14,155.73724365234375,73.0,125.99962615966797
2017-03-15,156.15582275390625,72.8499984741211,126.77703857421875
2017-03-16,159.08641052246094,73.80000305175781,126.69062805175781
2017-03-17,160.34231567382812,74.0,126.64642333984375
2017-03-20,160.34231567382812,73.94999694824219,126.76178741455078
2017-03-21,163.27285766601562,74.9000015258789,124.83838653564453
2017-03-22,162.01690673828125,74.19999694824219,125.6847152709961
2017-03-23,162.01690673828125,74.3499984741211,125.36734008789062
2017-03-24,161.17962646484375,74.25,125.62699890136719
2017-03-27,161.5982666015625,74.19999694824219,125.82897186279297
2017-03-28,162.85423278808594,74.25,126.59832000732422
2017-03-29,160.34231567382812,74.0,127.18492889404297
2017-03-30,160.34231567382812,73.9000015258789,127.39653778076172
2017-03-31,158.24911499023438,73.69999694824219,127.31000518798828
2017-04-05,161.5982666015625,74.6500015258789,126.91567993164062
2017-04-06,160.34231567382812,74.4000015258789,126.98295593261719
2017-04-07,159.92367553710938,74.0999984741211,126.91567993164062
2017-04-10,159.08641052246094,74.19999694824219,126.9637451171875
2017-04-11,159.92367553710938,73.9000015258789,126.41556549072266
2017-04-12,159.92367553710938,74.05000305175781,125.90589141845703
2017-04-13,160.34231567382812,74.4000015258789,125.40579986572266
2017-04-17,156.99314880371094,73.5999984741211,126.44441986083984
2017-04-18,157.4118194580078,73.5999984741211,126.25209045410156
2017-04-19,156.15582275390625,72.80000305175781,126.45404815673828
2017-04-20,156.5745086669922,72.80000305175781,127.51193237304688
2017-04-21,159.08641052246094,73.5,127.48309326171875
2017-04-24,159.08641052246094,73.6500015258789,129.0218048095703
2017-04-25,160.76095581054688,74.3499984741211,129.9546356201172
2017-04-26,159.92367553710938,74.55000305175781,129.7719268798828
2017-04-27,161.5982666015625,74.5,130.5509033203125
2017-04-28,162.85423278808594,74.55000305175781,130.78173828125
2017-05-02,164.52880859375,75.19999694824219,132.1665802001953
2017-05-03,165.78475952148438,75.55000305175781,131.743408203125
2017-05-04,165.78475952148438,75.6500015258789,131.79148864746094
2017-05-05,165.3661346435547,75.1500015258789,132.27235412597656
2017-05-08,169.55259704589844,75.69999694824219,132.56085205078125
2017-05-09,170.38990783691406,75.94999694824219,133.02247619628906
2017-05-10,172.0644989013672,76.25,133.09942626953125
2017-05-11,173.73907470703125,76.5,132.99363708496094
2017-05-12,172.48312377929688,76.30000305175781,133.29176330566406
2017-05-15,172.48312377929688,76.5,133.7148895263672
2017-05-16,171.22718811035156,76.5,134.27268981933594
2017-05-17,170.8085479736328,76.30000305175781,130.85870361328125
2017-05-18,170.38990783691406,75.9000015258789,132.0030517578125
2017-05-19,169.97128295898438,75.8499984741211,132.56085205078125
2017-05-22,171.64584350585938,76.05000305175781,133.67640686035156
2017-05-23,171.64584350585938,76.3499984741211,133.8110809326172
2017-05-24,172.0644989013672,76.30000305175781,134.42657470703125
2017-05-25,173.32041931152344,77.0,135.5709991455078
2017-05-26,173.32041931152344,76.94999694824219,135.8114013671875
2017-05-31,169.97128295898438,76.5,135.87872314453125
2017-06-01,173.32041931152344,76.9000015258789,136.40771484375
